ticker,end_period_ts,end_period_utc,interval_min,price_open,price_high,price_low,price_close,price_mean,price_previous,yes_bid_open,yes_bid_high,yes_bid_low,yes_bid_close,yes_ask_open,yes_ask_high,yes_ask_low,yes_ask_close,volume,open_interest
KXHIGHLAX-25JUL02-B68.5,1751414520,2025-07-02T00:02:00+00:00,1,0.3300,0.3300,0.3300,0.3300,0.3300,0.3400,0.3100,0.3100,0.3100,0.3100,0.3300,0.3500,0.3300,0.3500,60.00,1104.00
KXHIGHLAX-25JUL02-B68.5,1751414580,2025-07-02T00:03:00+00:00,1,,,,,,0.3300,0.3100,0.3100,0.3100,0.3100,0.3500,0.3500,0.3300,0.3300,0.00,1104.00
KXHIGHLAX-25JUL02-B68.5,1751414640,2025-07-02T00:04:00+00:00,1,,,,,,0.3300,0.3100,0.3100,0.3100,0.3100,0.3300,0.3300,0.3300,0.3300,0.00,1104.00
KXHIGHLAX-25JUL02-B68.5,1751414700,2025-07-02T00:05:00+00:00,1,,,,,,0.3300,0.3100,0.3100,0.3100,0.3100,0.3300,0.3300,0.3300,0.3300,0.00,1104.00
KXHIGHLAX-25JUL02-B68.5,1751414820,2025-07-02T00:07:00+00:00,1,,,,,,0.3300,0.3100,0.3100,0.3100,0.3100,0.3300,0.3300,0.3300,0.3300,0.00,1104.00
KXHIGHLAX-25JUL02-B68.5,1751415420,2025-07-02T00:17:00+00:00,1,,,,,,0.3300,0.3100,0.3100,0.3100,0.3100,0.3300,0.3500,0.3300,0.3300,0.00,1104.00
KXHIGHLAX-25JUL02-B68.5,1751415540,2025-07-02T00:19:00+00:00,1,,,,,,0.3300,0.3100,0.3100,0.3100,0.3100,0.3300,0.3500,0.3300,0.3300,0.00,1104.00
KXHIGHLAX-25JUL02-B68.5,1751415660,2025-07-02T00:21:00+00:00,1,,,,,,0.3300,0.3100,0.3100,0.3100,0.3100,0.3300,0.3300,0.3300,0.3300,0.00,1104.00
KXHIGHLAX-25JUL02-B68.5,1751416260,2025-07-02T00:31:00+00:00,1,,,,,,0.3300,0.3100,0.3100,0.3100,0.3100,0.3300,0.3300,0.3300,0.3300,0.00,1104.00
KXHIGHLAX-25JUL02-B68.5,1751416320,2025-07-02T00:32:00+00:00,1,,,,,,0.3300,0.3100,0.3100,0.3100,0.3100,0.3300,0.3500,0.3300,0.3300,0.00,1104.00
KXHIGHLAX-25JUL02-B68.5,1751416380,2025-07-02T00:33:00+00:00,1,,,,,,0.3300,0.3100,0.3100,0.3100,0.3100,0.3300,0.3300,0.3300,0.3300,0.00,1104.00
